Variable,Scenario,Train_r2,Validation_r2,N
pc_water_temp,ssp126,0.485817578439577,0.427282180204582,164
pc_water_temp,ssp370,0.485817578439577,0.427282180204582,164
pc_water_temp,ssp585,0.485817578439577,0.427282180204582,164
pc_turbidity,ssp126,0.523602230458996,0.429367543011628,161
pc_turbidity,ssp370,0.523651252149181,0.429153398306748,161
pc_turbidity,ssp585,0.523323364202728,0.429147014838874,161
pc_conductivity,ssp126,0.870118816255813,0.766015141969823,163
pc_conductivity,ssp370,0.870118816255813,0.766015141969823,163
pc_conductivity,ssp585,0.870118816255813,0.766015141969823,163
pc_ph,ssp126,0.704178776948328,0.595584962652888,161
pc_ph,ssp370,0.704047400072317,0.595473839866321,161
pc_ph,ssp585,0.704317421241482,0.596099574802587,161
nut_din,ssp126,0.623037068847109,0.543509693475148,163
nut_din,ssp370,0.623356964654968,0.543619552490386,163
nut_din,ssp585,0.623364539580533,0.543755729094466,163
nut_srp,ssp126,0.58912537711521,0.475745758478871,161
nut_srp,ssp370,0.589102082029122,0.476022089485517,161
nut_srp,ssp585,0.588357107754171,0.475046531265671,161
chla,ssp126,0.586897220232922,0.35417502670066,163
chla,ssp370,0.586725493725485,0.35369997267563,163
chla,ssp585,0.587052408302775,0.354112180717358,163
bacterial_abundance,ssp126,0.447046976088945,0.22613692625441,161
bacterial_abundance,ssp370,0.447651074037859,0.225274636375616,161
bacterial_abundance,ssp585,0.446991624362044,0.224581966132148,161
Shannon,ssp126,0.41585245957022,0.231603372641744,81
Shannon,ssp370,0.41585245957022,0.231603372641744,81
Shannon,ssp585,0.41585245957022,0.231603372641744,81
Pielou,ssp126,0.414593006624884,0.224104574704684,81
Pielou,ssp370,0.414593006624884,0.224104574704684,81
Pielou,ssp585,0.414593006624884,0.224104574704684,81
mntd,ssp126,0.723737969363768,0.540771405480675,81
mntd,ssp370,0.723615375337901,0.542240077404362,81
mntd,ssp585,0.72382173518196,0.541044931992854,81
mpd,ssp126,0.314945408929039,0.0855595518703804,81
mpd,ssp370,0.317840106078217,0.0788542268305615,81
mpd,ssp585,0.325133608486094,0.0806661971018643,81
